iter	MAE
0	5.67849034
1	5.663849278
2	5.649399318
3	5.63511925
4	5.620715902
5	5.606549164
6	5.592430804
7	5.578624421
8	5.564640725
9	5.550621303
10	5.536596036
11	5.52285432
12	5.509235494
13	5.495682737
14	5.482266519
15	5.46875866
16	5.455347742
17	5.442153746
18	5.429052395
19	5.416062998
20	5.402987929
21	5.390058582
22	5.377244128
23	5.364334277
24	5.351682866
25	5.338864205
26	5.326264638
27	5.313417189
28	5.300621091
29	5.288273349
30	5.275716313
31	5.26317258
32	5.25071425
33	5.238518108
34	5.226401203
35	5.214222526
36	5.202210503
37	5.190146825
38	5.17810863
39	5.166180868
40	5.154428884
41	5.142797522
42	5.131120195
43	5.119467758
44	5.107934098
45	5.096162967
46	5.084616415
47	5.073043865
48	5.061553813
49	5.050199161
50	5.038899686
51	5.027675237
52	5.016436653
53	5.005323514
54	4.994459678
55	4.983459691
56	4.972497337
57	4.961564732
58	4.950855225
59	4.940170028
60	4.929464632
61	4.919136319
62	4.908675186
63	4.898266364
64	4.887846163
65	4.877575921
66	4.867333819
67	4.857156426
68	4.846890341
69	4.836578733
70	4.826351939
71	4.816212151
72	4.80618203
73	4.796167273
74	4.786149396
75	4.776133023
76	4.766493121
77	4.75649608
78	4.746731059
79	4.737012591
80	4.727406713
81	4.717828616
82	4.708015655
83	4.698394818
84	4.688868756
85	4.679610886
86	4.669999052
87	4.660806574
88	4.651459048
89	4.642211909
90	4.632893271
91	4.623581478
92	4.614279354
93	4.604905588
94	4.595751864
95	4.586574983
96	4.577469572
97	4.568190726
98	4.559051796
99	4.549845077
100	4.540637208
101	4.531349781
102	4.522247679
103	4.513333567
104	4.50424967
105	4.49524039
106	4.486423005
107	4.477615105
108	4.46882268
109	4.460104977
110	4.451346549
111	4.442728219
112	4.434085215
113	4.42518306
114	4.416434363
115	4.407610586
116	4.398863392
117	4.390297306
118	4.381832411
119	4.373354329
120	4.364661562
121	4.356024773
122	4.347525525
123	4.338868786
124	4.330485526
125	4.322273007
126	4.314068941
127	4.30575764
128	4.297506952
129	4.28900046
130	4.280647713
131	4.272298646
132	4.263920697
133	4.255616791
134	4.247377439
135	4.239006896
136	4.230859936
137	4.223114211
138	4.214817924
139	4.206798948
140	4.198580478
141	4.190526931
142	4.182334174
143	4.174452953
144	4.16662516
145	4.158637441
146	4.150648281
147	4.142935006
148	4.135035009
149	4.126998296
150	4.118939037
151	4.11072487
152	4.102664871
153	4.094842658
154	4.087365776
155	4.079669084
156	4.071766046
157	4.064162535
158	4.056655884
159	4.048682936
160	4.040768387
161	4.032828196
162	4.025309683
163	4.017568938
164	4.009716035
165	4.002121922
166	3.994358784
167	3.986771901
168	3.979156945
169	3.971755882
170	3.963733471
171	3.9561695
172	3.948500106
173	3.940879655
174	3.933109313
175	3.92571365
176	3.918263171
177	3.910576455
178	3.902817379
179	3.895101511
180	3.887397467
181	3.879770206
182	3.872092163
183	3.864398789
184	3.856711491
185	3.84928284
186	3.841862865
187	3.834470485
188	3.826915037
189	3.819426285
190	3.811789088
191	3.804276519
192	3.796784023
193	3.789676033
194	3.782238887
195	3.774820498
196	3.767456233
197	3.760099318
198	3.752655701
199	3.745497329
200	3.738139779
201	3.730809343
202	3.723429705
203	3.716155485
204	3.709012974
205	3.701859572
206	3.694836074
207	3.687643127
208	3.680645153
209	3.67363577
210	3.666585055
211	3.659340843
212	3.652278156
213	3.645171431
214	3.638189331
215	3.631139862
216	3.624096281
217	3.617082168
218	3.609993231
219	3.602897707
220	3.596000707
221	3.589180743
222	3.582360084
223	3.575543488
224	3.568697881
225	3.561830985
226	3.555118238
227	3.548180114
228	3.541699787
229	3.534911096
230	3.528197761
231	3.521538472
232	3.514952147
233	3.508519625
234	3.501812008
235	3.495002859
236	3.488427268
237	3.481760429
238	3.475101632
239	3.468409294
240	3.461862435
241	3.455231129
242	3.448626824
243	3.442256413
244	3.435811118
245	3.429364548
246	3.422902947
247	3.416427398
248	3.410145841
249	3.403555003
250	3.397035759
251	3.390617563
252	3.384414652
253	3.377949007
254	3.37159975
255	3.365249923
256	3.358844182
257	3.35264486
258	3.346256977
259	3.340264996
260	3.333753425
261	3.327368747
262	3.32106477
263	3.314726565
264	3.308454105
265	3.302125255
266	3.295723522
267	3.289219512
268	3.28288344
269	3.276653456
270	3.270516959
271	3.264294533
272	3.258163208
273	3.251953891
274	3.245824153
275	3.239712434
276	3.23357024
277	3.22758279
278	3.221613433
279	3.215479347
280	3.209408682
281	3.203453196
282	3.197372711
283	3.191322696
284	3.185268433
285	3.179238219
286	3.173417302
287	3.167610876
288	3.161567163
289	3.155744819
290	3.149998578
291	3.144235144
292	3.138306451
293	3.132623611
294	3.126631463
295	3.120692748
296	3.114802353
297	3.109075463
298	3.10308179
299	3.097137684
300	3.091278266
301	3.08541856
302	3.079629347
303	3.073779089
304	3.068089243
305	3.062310759
306	3.056496554
307	3.050802785
308	3.045031547
309	3.03924974
310	3.033467722
311	3.027760566
312	3.022033124
313	3.016335081
314	3.010549904
315	3.004852628
316	2.999226513
317	2.993621927
318	2.988036838
319	2.982577887
320	2.976890798
321	2.971350182
322	2.965781477
323	2.96019097
324	2.954617546
325	2.949083806
326	2.943528584
327	2.938176726
328	2.932715385
329	2.927278939
330	2.921885945
331	2.916468383
332	2.911105296
333	2.90579526
334	2.90033347
335	2.895036777
336	2.889845503
337	2.884613146
338	2.879452826
339	2.874323871
340	2.869180756
341	2.863954105
342	2.858777603
343	2.853654098
344	2.848364766
345	2.843331329
346	2.838333791
347	2.833322006
348	2.828265451
