iter	Passed	Remaining
0	9	5944
1	17	5102
2	23	4721
3	30	4618
4	37	4473
5	45	4508
6	53	4502
7	60	4487
8	67	4436
9	74	4383
10	80	4331
11	87	4298
12	94	4263
13	101	4248
14	108	4220
15	114	4192
16	121	4160
17	128	4156
18	135	4133
19	142	4119
20	148	4100
21	156	4119
22	163	4106
23	170	4084
24	176	4064
25	183	4052
26	190	4037
27	196	4023
28	203	4010
29	210	3994
30	216	3979
31	223	3974
32	232	3989
33	239	3991
34	246	3985
35	254	3984
36	260	3969
37	267	3956
38	274	3946
39	280	3932
40	287	3918
41	294	3907
42	300	3894
43	307	3881
44	314	3873
45	320	3862
46	327	3852
47	333	3839
48	340	3830
49	347	3820
50	353	3808
51	360	3798
52	367	3790
53	373	3779
54	380	3769
55	386	3758
56	393	3750
57	400	3739
58	407	3733
59	416	3749
60	424	3747
61	432	3750
62	438	3741
63	445	3730
64	452	3720
65	459	3714
66	465	3704
67	473	3706
68	480	3695
69	487	3688
70	493	3679
71	500	3669
72	506	3659
73	513	3652
74	520	3642
75	526	3632
76	533	3621
77	540	3614
78	546	3605
79	552	3594
80	559	3586
81	566	3579
82	573	3569
83	579	3560
84	586	3552
85	593	3544
86	600	3538
87	607	3533
88	614	3527
89	621	3521
90	628	3515
91	635	3508
92	642	3501
93	649	3493
94	655	3485
95	662	3477
96	670	3477
97	677	3469
98	685	3469
99	693	3468
100	702	3470
101	710	3467
102	727	3511
103	735	3509
104	745	3514
105	754	3516
106	762	3511
107	771	3513
108	779	3510
109	787	3510
110	797	3512
111	805	3509
112	813	3507
113	822	3506
114	829	3499
115	837	3493
116	844	3486
117	869	3550
118	876	3543
119	884	3536
120	891	3528
121	898	3519
122	906	3513
123	913	3504
124	919	3495
125	927	3490
126	934	3481
127	942	3475
128	950	3469
129	958	3463
130	965	3458
131	973	3451
132	981	3446
133	989	3439
134	996	3432
135	1004	3428
136	1011	3418
137	1018	3410
138	1025	3400
139	1032	3392
140	1039	3384
141	1046	3375
142	1053	3365
143	1060	3357
144	1066	3347
145	1073	3337
146	1079	3327
147	1086	3317
148	1093	3309
149	1100	3301
150	1107	3291
151	1113	3282
152	1120	3272
153	1126	3263
154	1133	3254
155	1140	3245
156	1147	3236
157	1153	3226
158	1160	3219
159	1168	3212
160	1177	3210
161	1184	3203
162	1192	3196
163	1198	3187
164	1207	3182
165	1214	3175
166	1222	3168
167	1229	3161
168	1236	3152
169	1242	3143
170	1249	3134
171	1255	3125
172	1262	3115
173	1268	3106
174	1275	3097
175	1282	3088
176	1288	3080
177	1295	3071
178	1302	3062
179	1308	3053
180	1315	3044
181	1321	3035
182	1328	3026
183	1334	3018
184	1341	3009
185	1349	3002
186	1356	2996
187	1365	2992
188	1372	2984
189	1380	2978
190	1387	2970
191	1410	2996
192	1416	2987
193	1423	2978
194	1429	2969
195	1436	2960
196	1443	2952
197	1449	2943
198	1456	2934
199	1463	2926
200	1469	2917
201	1476	2908
202	1482	2900
203	1489	2891
204	1496	2882
205	1502	2874
206	1509	2866
207	1516	2857
208	1523	2850
209	1531	2843
210	1538	2836
211	1546	2829
212	1552	2820
213	1559	2812
214	1565	2804
215	1573	2797
216	1583	2794
217	1591	2788
218	1599	2781
219	1609	2780
220	1620	2779
221	1628	2772
222	1636	2767
223	1643	2759
224	1651	2752
225	1658	2744
226	1665	2737
227	1673	2730
228	1680	2722
229	1687	2714
230	1695	2708
231	1702	2700
232	1711	2695
233	1719	2689
234	1726	2680
235	1733	2673
236	1740	2665
237	1747	2657
238	1754	2649
239	1761	2641
240	1768	2635
241	1775	2627
242	1782	2618
243	1790	2612
244	1798	2606
245	1805	2598
246	1812	2590
247	1820	2583
248	1827	2576
249	1835	2569
250	1842	2561
251	1848	2553
252	1855	2544
253	1862	2537
254	1869	2528
255	1875	2520
256	1882	2512
257	1889	2504
258	1896	2496
259	1903	2488
260	1910	2481
261	1917	2473
262	1924	2465
263	1931	2457
264	1937	2449
265	1944	2441
266	1950	2433
267	1957	2425
268	1964	2417
269	1971	2409
270	1977	2401
271	1984	2393
272	1991	2385
273	1997	2376
274	2004	2368
275	2011	2361
276	2018	2353
277	2025	2345
278	2032	2338
279	2039	2330
280	2046	2322
281	2053	2315
282	2061	2309
283	2068	2301
284	2075	2294
285	2083	2286
286	2092	2282
287	2101	2276
288	2108	2269
289	2116	2261
290	2123	2255
291	2130	2247
292	2137	2240
293	2147	2234
294	2154	2227
295	2175	2234
296	2182	2226
297	2188	2218
298	2195	2210
299	2202	2202
300	2208	2194
301	2215	2185
302	2221	2177
303	2228	2169
304	2235	2161
305	2241	2153
306	2248	2146
307	2255	2138
308	2262	2131
309	2269	2123
310	2276	2115
311	2283	2108
312	2292	2101
313	2299	2094
314	2306	2086
315	2312	2078
316	2319	2070
317	2325	2062
318	2332	2054
319	2338	2046
320	2346	2039
321	2352	2031
322	2359	2023
323	2365	2015
324	2372	2007
325	2378	1999
326	2385	1991
327	2392	1983
328	2398	1975
329	2405	1968
330	2412	1960
331	2418	1952
332	2425	1944
333	2432	1937
334	2439	1929
335	2446	1921
336	2452	1914
337	2459	1906
338	2466	1899
339	2474	1891
340	2482	1885
341	2488	1877
342	2495	1869
343	2501	1861
344	2508	1853
345	2515	1846
346	2521	1838
347	2528	1830
348	2534	1823
349	2541	1815
350	2548	1807
351	2554	1799
352	2561	1792
353	2567	1784
354	2574	1776
355	2581	1769
356	2587	1761
357	2594	1753
358	2601	1746
359	2607	1738
360	2614	1730
361	2620	1723
362	2627	1715
363	2634	1707
364	2641	1700
365	2649	1693
366	2659	1688
367	2665	1680
368	2672	1673
369	2679	1665
370	2686	1658
371	2694	1651
372	2703	1645
373	2710	1638
374	2722	1633
375	2730	1626
376	2738	1620
377	2748	1614
378	2756	1607
379	2764	1600
380	2771	1593
381	2779	1586
382	2787	1579
383	2794	1572
384	2801	1564
385	2808	1557
386	2816	1550
387	2824	1543
