,acoustic_data,time_to_failure
338400000,6,9.605199
338400001,5,9.605199
338400002,8,9.605199
338400003,8,9.605199
338400004,7,9.605199
338400005,4,9.605199
338400006,0,9.605199
338400007,5,9.605199
338400008,4,9.605199
338400009,5,9.605199
338400010,8,9.605199
338400011,3,9.605199
338400012,4,9.605199
338400013,5,9.605199
338400014,5,9.605199
338400015,3,9.605199
338400016,3,9.605199
338400017,7,9.605199
338400018,7,9.605199
338400019,7,9.605199
338400020,8,9.605199
338400021,10,9.605199
338400022,6,9.605199
338400023,1,9.605199
338400024,4,9.605199
338400025,6,9.605199
338400026,6,9.605199
338400027,2,9.605199
338400028,5,9.605199
338400029,1,9.605199
338400030,-1,9.605199
338400031,1,9.605199
338400032,5,9.605199
338400033,5,9.605199
338400034,2,9.605199
338400035,5,9.605199
338400036,0,9.605199
338400037,6,9.605199
338400038,8,9.605199
338400039,5,9.605199
338400040,3,9.605199
338400041,8,9.605199
338400042,6,9.605199
338400043,6,9.605199
338400044,9,9.605199
338400045,9,9.605199
338400046,5,9.605199
338400047,7,9.605199
338400048,6,9.605199
338400049,4,9.605199
338400050,6,9.605199
338400051,7,9.605199
338400052,6,9.605199
338400053,9,9.605199
338400054,8,9.605199
338400055,5,9.605199
338400056,5,9.605199
338400057,0,9.605199
338400058,3,9.605199
338400059,0,9.605199
338400060,4,9.605199
338400061,6,9.605199
338400062,6,9.605199
338400063,5,9.605199
338400064,4,9.605199
338400065,6,9.605199
338400066,6,9.605199
338400067,11,9.605199
338400068,9,9.605199
338400069,5,9.605199
338400070,5,9.605199
338400071,6,9.605199
338400072,5,9.605199
338400073,4,9.605199
338400074,2,9.605199
338400075,-1,9.605199
338400076,3,9.605199
338400077,3,9.605199
338400078,4,9.605199
338400079,7,9.605199
338400080,7,9.605199
338400081,1,9.605199
338400082,2,9.605199
338400083,6,9.605199
338400084,8,9.605199
338400085,4,9.605199
338400086,4,9.605199
338400087,5,9.605199
338400088,2,9.605199
338400089,7,9.605199
338400090,5,9.605199
338400091,1,9.605199
338400092,7,9.605199
338400093,8,9.605199
338400094,4,9.605199
338400095,7,9.605199
338400096,2,9.605199
338400097,3,9.605199
338400098,2,9.605199
338400099,9,9.605199
338400100,13,9.605199
338400101,5,9.605199
338400102,0,9.605199
338400103,3,9.605199
338400104,5,9.605199
338400105,2,9.605199
338400106,-1,9.605199
338400107,3,9.605199
338400108,6,9.605199
338400109,2,9.605199
338400110,3,9.605199
338400111,4,9.605199
338400112,3,9.605199
338400113,8,9.605199
338400114,-2,9.605199
338400115,-2,9.605199
338400116,4,9.605199
338400117,3,9.605199
338400118,4,9.605199
338400119,5,9.605199
338400120,6,9.605199
338400121,12,9.605199
338400122,7,9.605199
338400123,2,9.605199
338400124,6,9.605199
338400125,7,9.605199
338400126,5,9.605199
338400127,8,9.605199
338400128,10,9.605199
338400129,7,9.605199
338400130,4,9.605199
338400131,6,9.605199
338400132,3,9.605199
338400133,7,9.605199
338400134,4,9.605199
338400135,5,9.605199
338400136,2,9.605199
338400137,3,9.605199
338400138,8,9.605199
338400139,9,9.605199
338400140,3,9.605199
338400141,4,9.605199
338400142,0,9.605199
338400143,4,9.605199
338400144,5,9.605199
338400145,3,9.605199
338400146,1,9.605199
338400147,3,9.605199
